Munsell Color Science Laboratory,http://www.cis.rit.edu/research/mcsl2/online/cie.php
Wavelength (nm),Intensity
674,0.062062
675,0.05793
676,0.05405
677,0.050412
678,0.047006
679,0.043823
680,0.0408508
681,0.038072
682,0.035468
683,0.033031
684,0.030753
685,0.028623
686,0.026635
687,0.024781
688,0.023052
689,0.021441
690,0.0199413
691,0.018544
692,0.017241
693,0.016027
694,0.014896
695,0.013842
696,0.012862
697,0.011949
698,0.0111
699,0.010311
700,0.00957688
701,0.008894
702,0.0082581
703,0.0076664
704,0.0071163
705,0.0066052
706,0.0061306
707,0.0056903
708,0.0052819
709,0.0049033
710,0.00455263
711,0.0042275
712,0.0039258
713,0.0036457
714,0.0033859
715,0.0031447
716,0.0029208
717,0.002713
718,0.0025202
719,0.0023411
720,0.00217496
721,0.0020206
722,0.0018773
723,0.0017441
724,0.0016205
725,0.0015057
726,0.0013992
727,0.0013004
728,0.0012087
729,0.0011236
730,0.00104476
731,0.00097156
732,0.0009036
733,0.00084048
734,0.00078187
735,0.00072745
736,0.0006769
737,0.00062996
738,0.00058637
739,0.00054587
740,0.000508258
741,0.0004733
742,0.0004408
743,0.00041058
744,0.00038249
745,0.00035638
746,0.00033211
747,0.00030955
748,0.00028858
749,0.00026909
750,0.000250969
751,0.00023413
752,0.00021847
753,0.00020391
754,0.00019035
755,0.00017773
756,0.00016597
757,0.00015502
758,0.0001448
759,0.00013528
760,0.00012639
761,0.0001181
762,0.00011037
763,0.00010315
764,0.000096427
765,0.000090151
766,0.000084294
767,0.00007883
768,0.000073729
769,0.000068969
770,6.45258E-005
771,0.000060376
772,0.0000565
773,0.00005288
774,0.000049498
775,0.000046339
776,0.000043389
777,0.000040634
778,0.00003806
779,0.000035657
780,3.34117E-005
781,0.000031315
782,0.000029355
783,0.000027524
784,0.000025811
785,0.000024209
786,0.000022711
787,0.000021308
788,0.000019994
789,0.000018764
790,1.76115E-005
791,0.000016532
792,0.000015521
793,0.000014574
794,0.000013686
795,0.000012855
796,0.000012075
797,0.000011345
798,0.000010659
799,0.000010017
800,9.41363E-006
801,8.8479E-006
802,8.3171E-006
803,0.000007819
804,7.3516E-006
805,0.000006913
806,6.5015E-006
807,6.1153E-006
808,5.7529E-006
809,5.4127E-006
810,5.09347E-006
811,4.7938E-006
812,4.5125E-006
813,4.2483E-006
814,4.0002E-006
815,3.7671E-006
816,0.000003548
817,3.3421E-006
818,3.1485E-006
819,2.9665E-006
820,2.79531E-006
821,2.6345E-006
822,2.4834E-006
823,2.3414E-006
824,2.2078E-006
825,0.000002082
826,1.9636E-006
827,1.8519E-006
828,1.7465E-006
829,1.6471E-006
830,1.55314E-006
