色彩科学ハンドブック (第3版),
Wavelength (nm),Relative intensity
380,0.001803236
385,0.00129963
390,0.001007213
395,0.000925986
400,0.002404315
405,0.01975437
410,0.003444018
415,0.00438625
420,0.006075768
425,0.00835012
430,0.010965625
435,0.055867828
440,0.02414062
445,0.016895185
450,0.017480018
455,0.01733381
460,0.016424069
465,0.015059458
470,0.013467412
475,0.011842875
480,0.012850088
485,0.027032296
490,0.027178504
495,0.016960166
500,0.00964975
505,0.005425954
510,0.003817662
515,0.00305413
520,0.002583014
525,0.002388069
530,0.002924167
535,0.009276106
540,0.066573527
545,0.119712132
550,0.054600689
555,0.013386185
560,0.005490935
565,0.004012606
570,0.003476509
575,0.00789525
580,0.018600949
585,0.024026902
590,0.01975437
595,0.014572097
600,0.010591981
605,0.013499903
610,0.071674573
615,0.056127754
620,0.019640652
625,0.019738125
630,0.017090129
635,0.007196699
640,0.003167847
645,0.003557736
650,0.005182273
655,0.004499968
660,0.00372019
665,0.003249074
670,0.002469296
675,0.002193125
680,0.002388069
685,0.002907921
690,0.002826694
695,0.001657028
700,0.001851972
705,0.005393463
710,0.007294171
715,0.003330301
720,0.000796023
725,0.000389889
730,0.000341153
735,0.000341153
740,0.000389889
745,0.000389889
750,0.000341153
755,0.000276171
760,0.000341153
765,0.000357398
770,0.000276171
775,0.000194944
780,0.000146208
