色彩科学ハンドブック (第3版),
Wavelength (nm),Relative intensity
380,0.002814908
385,0.003537452
390,0.004395472
395,0.00519328
400,0.007677023
405,0.028465197
410,0.009031792
415,0.009197375
420,0.010311296
425,0.011410164
430,0.012509032
435,0.061355973
440,0.024175096
445,0.015534682
450,0.016422808
455,0.017160405
460,0.017807683
465,0.018319485
470,0.018665703
475,0.018876445
480,0.018936657
485,0.018846339
490,0.018771074
495,0.018364644
500,0.017898001
505,0.017476517
510,0.017055034
515,0.016708815
520,0.016498073
525,0.016513126
530,0.016799133
535,0.017371146
540,0.01824422
545,0.041817197
550,0.026688945
555,0.021781671
560,0.022880539
565,0.02373856
570,0.024235308
575,0.027908237
580,0.029353324
585,0.023166546
590,0.022037572
595,0.020652697
600,0.01910224
605,0.017416305
610,0.015730371
615,0.014074542
620,0.012478926
625,0.011018786
630,0.009648964
635,0.008474831
640,0.007375963
645,0.006412572
650,0.005599711
655,0.004892221
660,0.004259995
665,0.003748194
670,0.003296604
675,0.002905226
680,0.002574061
685,0.002288054
690,0.002152577
695,0.001896676
700,0.001700987
705,0.001580564
710,0.001445087
715,0.001279504
720,0.001174133
725,0.001083815
730,0.001023603
735,0.00100855
740,0.000978444
745,0.000918232
750,0.000933285
755,0.000888126
760,0.000933285
765,0.000963391
770,0.000827914
775,0.00070749
780,0.000602119
