色彩科学ハンドブック (第3版),
Wavelength (nm),Relative intensity
380,0.001055223
385,0.001295888
390,0.001610604
395,0.001814244
400,0.003721051
405,0.025454949
410,0.003609975
415,0.002943518
420,0.003258234
425,0.003572949
430,0.003887665
435,0.056056427
440,0.01486569
445,0.004720736
450,0.004998426
455,0.005220579
460,0.005387193
465,0.005535294
470,0.005627858
475,0.005701909
480,0.005720421
485,0.005720421
490,0.005812985
495,0.005664883
500,0.005553807
505,0.005516782
510,0.00557232
515,0.005812985
520,0.006312827
525,0.007219949
530,0.008682452
535,0.010755873
540,0.013551289
545,0.041820168
550,0.027972675
555,0.025695614
560,0.030231224
565,0.034581706
570,0.038210193
575,0.044948812
580,0.048614325
585,0.043097543
590,0.042468112
595,0.040987097
600,0.038710036
605,0.035970158
610,0.032841513
615,0.029620305
620,0.0266953
625,0.023251939
630,0.020234371
635,0.017624081
640,0.015143381
645,0.012977396
650,0.011107614
655,0.009459985
660,0.008071533
665,0.006831183
670,0.005794472
675,0.00488735
680,0.004146843
685,0.003535924
690,0.003147157
695,0.002573264
700,0.002184497
705,0.001906807
710,0.001629117
715,0.001369939
720,0.001184812
725,0.000999685
730,0.000907122
735,0.000851584
740,0.000777533
745,0.00068497
750,0.00068497
755,0.000610919
760,0.000647944
765,0.000666457
770,0.000573893
775,0.00048133
780,0.000351741
